,Module (54),Function (54),Class (54),Calls (54),Self Time (54),Total Time (54),Self Wait Time (54),Total Wait Time (54),Callers (54),Callees (54),Module Path (54),Source File (54),% in function (54),Average Self time per call (54),Average Total time per call (54)
,MVCDecoder.exe,macroblockPBPrediction,,38536,92763,1299732,0,3665,1,5,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\pbpredict.cpp,0.07,0,0.03
,MVCDecoder.exe,BitstreamGetBits,,269225,84864,150420,113,140,3,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,0.56,0,0
,MVCDecoder.exe,refsEqual,,581171,84437,84437,388,388,1,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\pbpredict.cpp,1,0,0
,MVCDecoder.exe,macroblock_read_cavlc_PB_y,,7441,77753,571121,39976,109330,2,7,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pbcavlc.cpp,0.14,0.01,0.08
,MVCDecoder.exe,LumaHorFilter,,40800,74523,489176,13,1918,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\loopfilter.cpp,0.15,0,0.01
,MVCDecoder.exe,setRefXY,,434822,67960,67960,0,0,2,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\vlcpred.cpp,1,0,0
,MVCDecoder.exe,LumaVerFilter,,40800,66346,502072,296,2431,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\loopfilter.cpp,0.13,0,0.01
,MVCDecoder.exe,BitstreamGetBits,,185505,60368,106584,13,300,2,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,0.57,0,0
,MVCDecoder.exe,T264dec_mb_read_run_before,,165865,55173,165887,4,69184,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\cavlc.cpp,0.33,0,0
,MVCDecoder.exe,ChromaHorFilter,,40800,54814,338662,196,880,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\loopfilter.cpp,0.16,0,0.01
,MVCDecoder.exe,ChromaVerFilter,,40800,54239,327112,1535,1851,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\loopfilter.cpp,0.17,0,0.01
,MVCDecoder.exe,T264dec_mb_read_level_prefix,,131786,43303,75515,50,82,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\cavlc.cpp,0.57,0,0
,MVCDecoder.exe,BitstreamGetBit,,150466,40981,127663,2,287,3,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,0.32,0,0
,MVCDecoder.exe,BitstreamGetBit,,174143,39773,138347,6,41,2,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,0.29,0,0
,MVCDecoder.exe,iterator,"std::_Tree<std::_Tmap_traits<unsigned long,int,std::less<unsigned long>,std::allocator<std::pair<unsigned long const ,int> >,0> >::iterator",9994,33573,64180,31314,33095,5,1,E:\Share\Projects\MVC\testset\little\run\,c:\program files\microsoft visual studio 9.0\vc\include\xtree,0.52,0,0.01
,MVCDecoder.exe,eg_read,,70207,29916,172544,1277,1579,4,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,0.17,0,0
,MVCDecoder.exe,idct2x2dc_c,,81600,28395,44467,0,34,2,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\dcttransform.cpp,0.64,0,0
,MVCDecoder.exe,LoadNextStream,BitstreamData,175,27391,370537,74,1834,1,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\bitstreamdata.h,0.07,0.16,2.12
,MVCDecoder.exe,getRefXY,,90538,27075,27075,1294,1294,3,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\vlcpred.cpp,1,0,0
,MVCDecoder.exe,macroblockIntraDecode_y,,2264,26979,83959,51,99,1,14,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\iframe\imacroblockcodec.cpp,0.32,0.01,0.04
,MVCDecoder.exe,process_data_decode,,38536,26683,3114715,0,14619,1,5,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pslice.cpp,0.01,0,0.08
,MVCDecoder.exe,BitstreamSkip,,185505,23273,23273,15,15,1,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,1,0,0
,MVCDecoder.exe,macroblock_read_cavlc_uv,,9705,22988,120411,34,55,3,4,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\cavlc.cpp,0.19,0,0.01
,MVCDecoder.exe,BitstreamShowBits,,185505,22943,22943,272,272,1,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,1,0,0
,MVCDecoder.exe,macroblock_processor_PB,,1995,21920,3543149,0,15529,1,9,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pslice.cpp,0.01,0.01,1.78
,MVCDecoder.exe,set_luma_pred,,155280,20079,20079,0,0,2,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\vlcpred.cpp,1,0,0
,MVCDecoder.exe,IncreaseSaved,SlidingWindow,58346,19562,34409,0,9,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\slidingwindow.h,0.57,0,0
,MVCDecoder.exe,T264dec_mb_read_intra_cavlc,,2264,16861,325440,0,427,3,10,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\iframe\icavlc.cpp,0.05,0.01,0.14
,MVCDecoder.exe,PSliceDecode,,133,16609,8273523,72,159356,2,9,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pslice.cpp,0,0.12,62.21
,MVCDecoder.exe,BitstreamGetBits,,51113,16137,28152,7,19,4,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,0.57,0,0
,MVCDecoder.exe,operator[],"std::map<unsigned long,int,std::less<unsigned long>,std::allocator<std::pair<unsigned long const ,int> > >",4966,16131,139275,29,33752,2,13,E:\Share\Projects\MVC\testset\little\run\,c:\program files\microsoft visual studio 9.0\vc\include\map,0.12,0,0.03
,MVCDecoder.exe,T264dec_mb_read_total_zero1,,20989,14084,19413,0,0,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\cavlc.cpp,0.73,0,0
,MVCDecoder.exe,GetUnsaved,SlidingWindow,58346,13866,48275,23,32,5,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\slidingwindow.h,0.29,0,0
,MVCDecoder.exe,GetCodingPictInfo,SlidingWindow,57359,13026,60579,4,36,4,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\slidingwindow.h,0.22,0,0
,MVCDecoder.exe,macroblockIntraDecode_uv,,2264,12893,48818,3,26,1,10,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\iframe\imacroblockcodec.cpp,0.26,0.01,0.02
,MVCDecoder.exe,macroblockInterDecode,,38536,12766,1666189,0,10252,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pbmacroblockcodec.cpp,0.01,0,0.04
,MVCDecoder.exe,T264dec_mb_read_coff_token_t1,,37814,12596,22061,0,0,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\cavlc.cpp,0.57,0,0
,MVCDecoder.exe,get_luma_pred,,91109,12058,12058,0,0,2,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\vlcpred.cpp,1,0,0
,MVCDecoder.exe,T264dec_mb_read_coff_token_t0,,35577,11843,21086,0,0,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\cavlc.cpp,0.56,0,0
,MVCDecoder.exe,iquant2x2dc_c,,81600,11293,11293,11,11,2,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\quantisation.cpp,1,0,0
,MVCDecoder.exe,getRefXY,,31269,11070,30724,0,0,1,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\vlcpred.cpp,0.36,0,0
,MVCDecoder.exe,T264dec_mb_read_coff_token_t2,,28735,10768,17831,3,3,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\cavlc.cpp,0.6,0,0
,MVCDecoder.exe,require_data_decode,,38536,10081,10081,85,85,1,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pslice.cpp,1,0,0
,MVCDecoder.exe,macroblock_read_cavlc_P_slice,,3600,10010,525698,0,1402,1,9,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pbcavlc.cpp,0.02,0,0.15
,MVCDecoder.exe,unscan_zig_2x2,,81600,9836,9836,0,0,2,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\scanner.h,1,0,0
,MVCDecoder.exe,set_chroma_pred,,77640,9560,9560,4,4,1,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\vlcpred.cpp,1,0,0
,MVCDecoder.exe,idct8x8,,9328,9282,10768,5,5,2,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\dcttransform.cpp,0.86,0,0
,MVCDecoder.exe,GetNextProcessing,FrameController_Parallel,1277,9070,70298,0,39,1,7,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\controller\framecontroller_parallel.cpp,0.13,0.01,0.06
,MVCDecoder.exe,eg_read_se,,39607,8810,97442,0,23,3,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,0.09,0,0
,MVCDecoder.exe,require_data_decode_I,,2264,8228,15544,5,13,2,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\iframe\islice.cpp,0.53,0,0.01
,MVCDecoder.exe,BitstreamGetBit,,36020,7974,28054,9,24,4,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,0.28,0,0
,MVCDecoder.exe,GetKeep,SlidingWindow,58346,7571,7571,4,4,1,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\slidingwindow.h,1,0,0
,MVCDecoder.exe,T264_mb_read_cavlc_i4x4_mode,,1165,7428,32023,21,54,1,4,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\iframe\icavlc.cpp,0.23,0.01,0.03
,MVCDecoder.exe,GetFirstUnmarked,SlidingWindow,58633,7350,7350,5,5,3,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\slidingwindow.h,1,0,0
,MVCDecoder.exe,_Adopt,std::_Iterator_base,10462,6522,22188,15,1786,3,4,E:\Share\Projects\MVC\testset\little\run\,c:\program files\microsoft visual studio 9.0\vc\include\xutility,0.29,0,0
